HANS YU,SAN FRANCISCO,25,292,,7,32,yu
RUBEN S. VELASQUEZ,VALLEJO,43,47,,15,84,velasquez
LEAH TESSLER,SAN FRANCISCO,19,36,,3,19,tessler
SANDRA WONG,FREMONT,14,18,,10,43,wong
LORI M. BELTRAN,OAKLAND,8,22,,1,13,beltran
ROBINA Y. MOEN,SUNNYVALE,21,24,,11,50,moen
BETSY STRONG,SUNNYVALE,32,52,,14,76,strong
JORGE V. CONTRERAS,SAN JOSE,34,63,,11,50,contreras
JAMES TAYLOR,SAN RAFAEL,28,117,,17,94,taylor
RAJESH K. RANADIVE,PETALUMA,15,232,,17,94,ranadive
JOCELIZA G. CHAUDHARY,SAN JOSE,20,38,391,-1,7,chaudhary
LARRY SLATER,SANTA ROSA,38,26,,1,13,slater
RICHARD E. BATTS,PINOLE,46,64,,15,84,batts
TRACY A. THOMPSON,DUBLIN,32,57,,14,76,thompson
NIRMALA KANNAN,HAYWARD,33,97,,5,26,kannan
PATTI YANKLOWITZ,PALO ALTO,29,60,,14,76,yanklowitz
MARY J. MARTIN,SAN FRANCISCO,7,20,,2,15,martin
MARK BELTRAN,BURLINGAME,25,43,,3,19,beltran
BUDD N. SHENKIN,OAKLAND,,13,2665,-7,1,shenkin
MARGARET KRAY,OAKLAND,6,16,,9,37,kray
JOSHUA RASSEN,SAN FRANCISCO,,33,,15,84,rassen
LOUIS J. CUBBA,SAN FRANCISCO,18,57,,23,100,cubba
PATRICK W. PAU,SAN JOSE,48,21,,0,11,pau
CONSTANCE J. AYERS,SEBASTOPOL,33,36,,13,68,ayers
NATASHA AHMED,SAN JOSE,18,53,,-5,2,ahmed
IRWIN SHELUB,DALY CITY,,13,,11,50,shelub
AMY BRENDEL,REDWOOD CITY,10,31,,12,58,brendel
SARAH N. TORRES,PALO ALTO,10,18,,10,43,torres
SEYMOUR GREENSTEIN,PLEASANT HILL,44,88,269,3,19,greenstein
GREGORY F. HOOPER,SUNNYVALE,26,16,,2,15,hooper
JONATHAN NORDLICHT,SAN FRANCISCO,39,32,,17,94,nordlicht
SHELDON ZITMAN,CUPERTINO,40,18,365,7,32,zitman
RALEYS,ANTIOCH,,28,,14,76,raleys
NICOLAS E. MAKHOUL,PLEASANT HILL,19,94,,5,26,makhoul
JUSTIN R. GLODOWSKI,SANTA ROSA,,60,,15,84,glodowski
RICHARD HO,CASTRO VALLEY,40,45,,14,76,ho
ALPHAEUS M. WISE,WALNUT CREEK,12,29,,13,68,wise
STEVE R. LANE,PALO ALTO,28,28,,12,58,lane
CATHERINE BAKER,PALO ALTO,13,16,,10,43,baker
DAVID W. MCCULLOUGH,SAN JOSE,55,22,,12,58,mccullough
MAURA DEVEREUX,SAN FRANCISCO,,43,,13,68,devereux
SUSAN C. GARAY,MENLO PARK,24,23,,12,58,garay
LUCRETIA SONDERER,NAPA,,14,,8,34,sonderer
SIMIN SIDDIQ,FREMONT,37,26,,14,76,siddiq
STEPHEN E. PRATT,SAN RAMON,,32,,12,58,pratt
MICHAEL D. DELANGE,HAYWARD,16,64,,13,68,delange
LISA HLADIK,BURLINGAME,5,25,,12,58,hladik
KEVIN M. WONG,DALY CITY,21,65,,-5,2,wong
KAVERI PATEL,FREMONT,14,15,,10,43,patel
MICHAEL D. BOYD,MARTINEZ,6,80,,15,84,boyd
THOMAS E. STILES,SAINT HELENA,44,14,,-2,4,stiles
MILDRED M. KAWACHI,BERKELEY,40,57,,13,68,kawachi
LEIGH S. KIMBERG,SAN FRANCISCO,,20,,-1,7,kimberg
CARLOS E. ANDERSEN,CONCORD,39,25,692,6,30,andersen
ZHI H. HUANG,OAKLAND,,70,,3,19,huang
DAVID M. TULLY-SMITH,SAN RAFAEL,40,24,,12,58,tully-smith
JOHN C. GOOD,OAKLAND,44,140,,18,97,good
JOHN W. BEARD,OAKLAND,,20,,11,84,beard
LUCAS G. TAN,SAN JOSE,,241,,10,77,tan
MING-JING WANG,SANTA CLARA,32,24,,13,91,wang
BLAKE A. VONDERHEIDE,WALNUT CREEK,,13,,0,45,vonderheide
PATRICIA A. DAILEY,BURLINGAME,36,34,,-1,38,dailey
STEVEN M. JOHNSON,SAN JOSE,28,103,,11,84,johnson
HELEN EVANS,PALO ALTO,21,11,,-9,1,evans
ERICA M. ROSEN,MOUNTAIN VIEW,,15,,3,61,rosen
MARK COPE,SANTA CLARA,8,111,,10,77,cope
ROBERT C. SINGLER,NAPA,38,68,,2,54,singler
IK H. SUNG,PINOLE,11,42,,-1,38,sung
DIANA REBMAN,GREENBRAE,31,12,,-6,11,rebman
RONALD T. STAFFORD,FAIRFIELD,45,31,,6,71,stafford
MARC P. STEURER,SAN FRANCISCO,13,14,,-9,1,steurer
AHMED M. SHALABI,SAN FRANCISCO,13,22,,-7,8,shalabi
CELIA L. CARPENTER,BURLINGAME,23,50,,16,99,carpenter
SAMIR DZANKIC,WALNUT CREEK,18,69,,1,51,dzankic
GREGORY KELLY,OAKLAND,,32,,-4,22,kelly
EDWIN HOM,SAN FRANCISCO,41,15,,1,51,hom
TIFFANY TOWNSEND,BURLINGAME,14,31,,-1,38,townsend
ETHAN A. NICHOLLS,FREMONT,26,32,,-3,30,nicholls
ROSHEN MORENO,VALLEJO,26,69,,0,45,moreno
SCOTT RUDY,PALO ALTO,12,21,,-6,11,rudy
ARASH ZEIGHAMI,GILROY,10,13,,-5,18,zeighami
BRANDT A. FOREMAN,SAN JOSE,,23,,-4,22,foreman
TESSA B. COLLINS,OAKLAND,,23,,-2,35,collins
VIVIAN T. KIM,DALY CITY,,35,,13,91,kim
SHIRLEY LIU,REDWOOD CITY,14,217,,14,95,liu
JEFFREY S. STUART,FREMONT,,146,,0,45,stuart
SIOBHAN HARRINGTON,MOUNTAIN VIEW,,20,,4,66,harrington
YOLANDA Q. TAM,CASTRO VALLEY,11,17,,10,77,tam
DANIEL A. ROWEN,BURLINGAME,,17,,-6,11,rowen
ANN M. MALLAT,SAN JOSE,,25,,-1,38,mallat
NOAH E. GORDON,SAN FRANCISCO,11,12,,-6,11,gordon
LISA M. COLLINS,SAN PABLO,17,261,,14,95,collins
MARK E. KENTER,SAN JOSE,,17,,-6,11,kenter
MARGARET HARRINGTON,SAN RAFAEL,,95,,8,74,harrington
BRIAN D. HERSHEY,WALNUT CREEK,,185,,4,66,hershey
KEVIN A. FUKUDA,BURLINGAME,21,48,,1,51,fukuda
CALVIN CHANG,SAN FRANCISCO,48,31,,0,45,chang
PAUL ECKINGER,PALO ALTO,,16,,-7,8,eckinger
HENRY KAMALI,SAN JOSE,,26,,-3,30,kamali
JENS W. KROMBACH,SAN FRANCISCO,20,14,,-9,1,krombach
JOSEPH W. LEE,DALY CITY,28,95,,5,70,lee
PAUL GILLBANKS,SAN LEANDRO,,453,,13,91,gillbanks
BETTY LEE-HOANG,SAN FRANCISCO,16,12,,6,71,lee-hoang
KAY M. ASTROTH,SAN RAFAEL,,468,,11,84,astroth
THOMAS H. CROMWELL,SAN FRANCISCO,47,32,,12,88,cromwell
ROBERT H. MEINTS,BURLINGAME,19,60,,2,54,meints
PAZ Q. BILKEY,SAN JOSE,46,40,,4,66,bilkey
TIMUR J. KARACA,OAKLAND,12,22,,-3,30,karaca
SUDHA R. SAWKAR,VALLEJO,42,50,,0,45,sawkar
FAIR H. WANG,CASTRO VALLEY,24,13,,11,84,wang
LEWIS S. MARGOLIS,REDWOOD CITY,41,26,,-4,22,margolis
NALINI DESAI,GREENBRAE,27,36,,-1,38,desai
THOMAS GAFFEY,SAN RAFAEL,12,235,,16,99,gaffey
CORAZON DEGUZMAN,FREMONT,58,206,,10,77,deguzman
ROBERT C. VANDERGRAAF,VALLEJO,31,32,,2,54,vandergraaf
PATRICIA DECKER,NAPA,22,52,,15,98,decker
RICHARD B. LINIGER,PALO ALTO,11,21,,-6,11,liniger
MICHAEL D. MCGEHEE,SAN FRANCISCO,43,15,,-3,30,mcgehee
SCOTT ROBINSON,GREENBRAE,41,12,,-6,11,robinson
DAVID K. BLACK,CASTRO VALLEY,26,12,,2,54,black
SUSAN R. MALONEY,SAN FRANCISCO,22,13,,-3,30,maloney
VINCENT R. SANSONE,SONOMA,40,226,,10,77,sansone
MICHAEL R. HULTON,SAN FRANCISCO,44,46,,12,88,hulton
ROBERT M. DONATIELLO,SAN RAMON,15,11,,-6,11,donatiello
GEORGE H. LAMPE,SAN JOSE,,20,,-1,38,lampe
CHUNG-IH JOHN CHOU,PALO ALTO,17,33,,-4,22,chou
DANIEL WONG,MOUNTAIN VIEW,11,21,,4,66,wong
HANH T. NGUYEN-CLARK,SAN JOSE,19,17,,9,75,nguyen-clark
MEI-VEN C. LO,SAN JOSE,26,102,,11,84,lo
KIRKMAN D. BECKWITH,WALNUT CREEK,27,76,,1,51,beckwith
ROBERT A. PIKE,WALNUT CREEK,37,70,,2,54,pike
CHRISTOPHER G. HATCH,GREENBRAE,17,29,,-1,38,hatch
SYDNEY I. THOMSON,SAN JOSE,,18,,-4,22,thomson
BRENT SOMMER,SAN FRANCISCO,34,12,,3,61,sommer
THOMAS GASTON,PALO ALTO,34,17,,-7,8,gaston
DONALD J. LOARIE,SANTA ROSA,40,61,,10,77,loarie
MAGDALENA M. MINDEA,DALY CITY,,164,,3,61,mindea
JAMES P. HOWELL,SAN JOSE,,20,,-7,8,howell
STEVEN D. GOLDFIEN,SAN FRANCISCO,36,34,,0,45,goldfien
BENJAMIN HU,BURLINGAME,21,19,,-4,22,hu
SIEW YEAN LAU,MOUNTAIN VIEW,,15,,3,61,lau
MICHELLE B. TORRES,SAN RAMON,,26,,9,75,torres
DANIEL Y. MOCHIZUKI,MOUNTAIN VIEW,,13,,2,54,mochizuki
CYNTHIA WELLER,REDWOOD CITY,11,125,,13,91,weller
EUNICE S. LEE,SAN FRANCISCO,10,15,,-3,30,lee
PETER S. NOSE,SAN JOSE,26,34,,10,77,nose
ALI HABIBI,PALO ALTO,20,11,,-8,4,habibi
CHERYL R. CHEN,SAN JOSE,,13,,-5,18,chen
PHILIPPA NEWFIELD,SAN FRANCISCO,41,13,,-6,11,newfield
JAMES J. DURRETT,SAN FRANCISCO,37,16,,-4,22,durrett
JEFFREY P. KUHN,SANTA ROSA,29,302,,12,88,kuhn
EFREN P. BARIA,SAN FRANCISCO,13,25,,5,70,baria
CHIA-BING CHANG,SAN JOSE,,137,,14,95,chang
ALLISON K. DUFFY,SAN RAMON,9,11,,-2,35,duffy
WILLIAM R. ROALFE,OAKLAND,,514,,12,88,roalfe
PHILIP C. STILLMAN,MOUNTAIN VIEW,,17,,3,61,stillman
ALEX L. GOODMAN,SAN FRANCISCO,24,18,,-4,22,goodman
KARL SORENSEN,MOUNTAIN VIEW,34,28,,-5,18,sorensen
ROBERT B. MORRIS,NAPA,39,47,,2,54,morris
DENNIS LIU,SAN JOSE,35,24,2995,-9,1,liu
ANTHONY M. LIN,SAN JOSE,,11,,-5,18,lin
ANDREW E. SOLOMON,GREENBRAE,23,31,,-1,38,solomon
CHRISTOPHER J. VASIL,SAN JOSE,,12,,4,66,vasil
CHARLES WANG,PALO ALTO,20,12,,-9,1,wang
VICKI L. COE,WOODSIDE,,15,,-8,4,coe
JONATHAN PAK,SAN JOSE,14,29,,-2,35,pak
JOHN GAINEY,WALNUT CREEK,13,49,,-1,38,gainey
TZUHAO WU,MOUNTAIN VIEW,12,12,,2,54,wu
ANNIE Y. LAU,FAIRFIELD,36,54,,7,73,lau
PETER T. SUN,SAN JOSE,42,36,,14,95,sun
RICHARD HUNTER,PALO ALTO,38,37,,-4,22,hunter
MIN W. LEE,GILROY,44,11,,-5,18,lee
KENJI BUTTERFIELD,SAN JOSE,9,28,,13,91,butterfield
JULIA ANKUNDING,SAN FRANCISCO,,31,,9,75,ankunding
AVIVA COHEN,REDWOOD CITY,42,14,,-8,4,cohen
JOSEPH A. CALLAHAN,FREMONT,,53,,2,54,callahan
JENNIFER L. MUELLER,SAN FRANCISCO,,59,,7,73,mueller
BRANDON T. GINIECZKI,SAN JOSE,16,18,,-8,4,ginieczki
TOM C. YU,OAKLAND,20,29,,10,77,yu
JOHN COOPER,PALO ALTO,31,33,,-4,22,cooper
PETER ALLEN,GREENBRAE,27,46,,0,45,allen
MARK A. SINGLETON,SAN JOSE,,12,,-3,30,singleton
BHANUMATHI GURUSWAMI,BURLINGAME,26,51,,3,61,guruswami
EMIL EYVAZZADEH,SAN RAMON,41,20,,7,67,eyvazzadeh
EMILY N. HU,DALY CITY,14,13,,7,67,hu
ELENA A. GATES,SAN FRANCISCO,33,35,,-1,25,gates
MARYAM ARJOMAND,SAN MATEO,20,13,,6,65,arjomand
SADIA HAIDER,SAN FRANCISCO,,22,,-1,25,haider
FREDERICK R. ANDERSON,DANVILLE,44,55,,4,62,anderson
LIZELLEN LAFOLLETTE,GREENBRAE,26,73,,3,60,lafollette
JILL D. FOLEY,ORINDA,17,21,,-2,15,foley
IRINA NOSOVSKY,FAIRFIELD,,17,,0,39,nosovsky
KAREN M. CARLSON,DUBLIN,23,30,,2,47,carlson
HELEN E. MATTHEWS,CASTRO VALLEY,15,17,,11,80,matthews
ELIZABETH KANWIT,BERKELEY,,54,,1,44,kanwit
GARY HOFF,REDWOOD CITY,30,26,,-2,15,hoff
DIANE K. GRIFFITH-PARKER,VACAVILLE,,21,,2,47,griffith-parker
SCOTT D. EATON,LIVERMORE,14,15,,11,80,eaton
HAICHUN XIE,BURLINGAME,20,12,,-1,25,xie
UN HUI HAR,MOUNTAIN VIEW,14,20,,10,75,har
ROSEMARY DELGADO,WALNUT CREEK,27,21,,-1,25,delgado
GARY A. MATSUMURA,VACAVILLE,36,14,,-4,5,matsumura
ELWOOD L. KRONICK,WALNUT CREEK,55,56,,-1,25,kronick
KAYTHA CLAWSON,REDWOOD CITY,13,12,,-5,2,clawson
BARBARA A. PHELPS-SANDALL,MOUNTAIN VIEW,25,34,,10,75,phelps-sandall
MARIAN KIM,REDWOOD CITY,24,25,,-2,15,kim
NATASHA A. KAHL,SANTA ROSA,19,34,,2,47,kahl
MARLENE H. FREEMAN,FAIRFIELD,21,28,,-1,25,freeman
NAMITA SINGH,OAKLAND,15,36,,0,39,singh
MICHELLE M. OLIVEIRA,DUBLIN,23,48,,2,47,oliveira
MELANIE F. STONE,WALNUT CREEK,,11,,-4,5,stone
NONA CUNNINGHAM,GREENBRAE,29,58,,15,97,cunningham
SUSAN C. LOGAN,SANTA ROSA,,119,,13,94,logan
KATARINA LANNER-CUSIN,BERKELEY,33,70,,2,47,lanner-cusin
SARI J. KASPER,WALNUT CREEK,12,13,,-4,5,kasper
KYLA A. YEE,ANTIOCH,12,51,,1,44,yee
JING DAI,FREMONT,11,29,,12,89,dai
ANJALI SAHAI,MOUNTAIN VIEW,17,40,,11,80,sahai
LOUIS A. KLEIN,WALNUT CREEK,44,18,,9,73,klein
JULIANNE O'CALLAHAN,REDWOOD CITY,22,18,,-4,5,o'callahan
CHERI J. FORRESTER,SAUSALITO,33,27,,0,39,forrester
ELISABETH R. WIDMAN,SAN RAFAEL,39,13,,11,80,widman
JULIE J. HUH,SAN FRANCISCO,16,17,,12,89,huh
LAURA NORRELL,SAN FRANCISCO,23,14,,7,67,norrell
KAREN E. KUNZEL,LOS GATOS,25,74,,12,89,kunzel
STEPHEN R. WELLS,WALNUT CREEK,24,50,,4,62,wells
MAUREEN O. KHOO,LOS GATOS,22,15,,7,67,khoo
CATHERINE A. GRELLET,LOS GATOS,,25,,13,94,grellet
SEAN P. HENNESSEY,VALLEJO,,14,,-3,13,hennessey
ANNA V. SAPUGAY,CASTRO VALLEY,19,32,,-1,25,sapugay
SYLVIA FLORES,GREENBRAE,29,73,,16,99,flores
MARY LOWEN,WALNUT CREEK,37,26,,11,80,lowen
ANDREW H. JUROW,BURLINGAME,40,36,,2,47,jurow
MARION R. KRAMER,HAYWARD,,24,,-1,25,kramer
DANIELLE M. WALKER,SAUSALITO,14,17,,-1,25,walker
JANETTE G. WALKER,WALNUT CREEK,21,13,,-4,5,walker
NICOLE WILCOX,MOUNTAIN VIEW,9,11,,-5,2,wilcox
ALEXIS A. CARDELLINI,GREENBRAE,9,11,,10,75,cardellini
MANJARI ARAVAMUTHAN,SAN JOSE,26,20,,11,80,aravamuthan
JANINE E. SENIOR,WALNUT CREEK,26,67,,2,47,senior
CARRIE ROTHSTEIN,MENLO PARK,17,17,,-2,15,rothstein
CONNIE T. TAN,MOUNTAIN VIEW,27,23,,2,47,tan
DAN-ANH T. NGUYEN,SAN JOSE,28,172,,-7,1,nguyen
CAROLYN J. MANNON,MENLO PARK,15,16,,-2,15,mannon
KANDICE BANDY,MOUNTAIN VIEW,9,18,,-2,15,bandy
CHERYL KAHN,SAN RAFAEL,35,20,,10,44,kahn
PRASAD A. MURTHY,SAN RAFAEL,14,26,,11,65,murthy
GRACE Y. FAN,OAKLAND,19,28,,13,83,fan
DAVID L. KAUFMAN,SANTA ROSA,,15,,9,30,kaufman
BRIAN L. BAKER,SANTA CLARA,27,11,,8,24,baker
DEREK S. KUBOTA,OAKLAND,17,20,,10,44,kubota
ERIC GELINO,SAN RAFAEL,14,22,,10,44,gelino
MARSHA ROBERTS,WALNUT CREEK,20,12,,8,24,roberts
LARRY E. YEAGER,REDWOOD CITY,38,15,,9,30,yeager
BEN S. WONG,SAN JOSE,15,16,,-7,4,wong
ANDREW A. NGUYEN,REDWOOD CITY,15,15,,9,30,nguyen
CAM TRAN,SAN JOSE,11,20,,10,44,tran
GARY KLAPMAN,MOUNTAIN VIEW,40,53,,16,91,klapman
ANTHONY F. WAECHTER,WALNUT CREEK,15,21,,12,74,waechter
ISAAC L. KAPLAN,VALLEJO,32,27,,14,87,kaplan
ANTO SEDLIC,SAN FRANCISCO,,17,,10,44,sedlic
SONALI WADHWA,OAKLAND,16,12,,8,24,wadhwa
IAN AHWAH,VALLEJO,30,58,,16,91,ahwah
DAVID B. LIM,OAKLAND,22,18,,11,65,lim
ADAM GAMSE,OAKLAND,,23,,1,11,gamse
KENNETH L. HOFFMAN,SAN JOSE,29,56,,13,83,hoffman
SUDHA KARUPAIAH,SAN JOSE,22,20,,5,21,karupaiah
ELIZABETH W. GREER,SAN RAFAEL,15,19,,10,44,greer
JUDE J. MOORE,SAN PABLO,23,74,,17,95,moore
JUN WU,SAN FRANCISCO,16,15,,-7,4,wu
PATRICIA RICHMOND,WALNUT CREEK,11,14,,8,24,richmond
ALAN A. LAROCQUE,SANTA ROSA,34,20,,10,44,larocque
DANIEL R. LIM,FREMONT,19,17,,9,30,lim
LINDSAY S. CHENG,WALNUT CREEK,15,28,,11,65,cheng
JOHN E. TURNS,SAN RAMON,35,191,,16,91,turns
TERRI O. SNOW,HEALDSBURG,,27,,10,44,snow
ROSS E. LULU,SANTA CLARA,36,35,,12,74,lulu
JOHN W. WU,SANTA CLARA,22,17,,12,74,wu
VIKTOR NAIMAN,VALLEJO,43,22,,10,44,naiman
PATRICIA R. SILVER,VALLEJO,,27,,11,65,silver
GREGORY J. SABO,FREMONT,12,22,,10,44,sabo
JASKIRAN K. GREWAL,SAN JOSE,9,22,,10,44,grewal
DEAN M. GENES,VALLEJO,31,12,,-9,1,genes
"KC IMAGING, LLC",RICHMOND,,12,,-2,9,"kc imaging, llc"
JEFFREY F. RUEDA,OAKLAND,20,25,,11,65,rueda
BRIAN R. POTTS,BERKELEY,,25,,2,14,potts
HENRY KLEINBERG,SAN JOSE,,52,,13,83,kleinberg
NORA E. CANTY,OAKLAND,19,33,,12,74,canty
BARBARA E. DEMAS,REDWOOD CITY,36,26,,11,65,demas
GULSHAN BHATIA,SAN JOSE,,31,,3,17,bhatia
KATHLEEN P. MARINI,SANTA CLARA,,17,,9,30,marini
MICHAEL SEFTCHICK,ANTIOCH,9,86,,16,91,seftchick
MELANIE A. MARTIN,CAMPBELL,28,12,,-4,7,martin
DANIEL E. SIEDLER,REDWOOD CITY,33,12,,10,44,siedler
MARC-ALAN IWAHASHI,CUPERTINO,27,11,403,-9,1,iwahashi
STEFAN HALLER,FREMONT,28,17,,9,30,haller
JOHN R. LOGAN,SANTA CLARA,38,16,,6,23,logan
MATTHEW S. CLEVELAND,EMERYVILLE,,56,,16,91,cleveland
TITUS R. KOENIG,SANTA ROSA,25,24,,10,44,koenig
GABRIEL GONZALEZ,SAN JOSE,9,21,,11,65,gonzalez
