fullname,city,yearspracticing,proc,pharmadollars,services_count,score,test,last
CHUNG-YING A. CHEN,SUNNYVALE,15,Admin influenza virus vac,,19,12,58,CHEN
RUBEN S. VELASQUEZ,VALLEJO,43,Admin influenza virus vac,,47,12,58,VELASQUEZ
DAVID COHEN,SAN FRANCISCO,54,Admin influenza virus vac,,74,12,58,COHEN
ROBINA Y. MOEN,SUNNYVALE,21,Admin influenza virus vac,,24,12,58,MOEN
ARSEEN E. SOLIMAN,CONCORD,15,Admin influenza virus vac,,168,12,58,SOLIMAN
SHEILA H. HUMPHRIES,LOS ALTOS,23,Admin influenza virus vac,,57,12,58,HUMPHRIES
FREDERICK J. HASS,SAN RAFAEL,50,Admin influenza virus vac,,39,12,58,HASS
JAMES A. DAVIS,SAN FRANCISCO,41,Admin influenza virus vac,,100,12,58,DAVIS
CONSTANCE J. AYERS,SEBASTOPOL,33,Admin influenza virus vac,,36,13,73,AYERS
MAURA DEVEREUX,SAN FRANCISCO,,Admin influenza virus vac,,43,13,73,DEVEREUX
STEVE R. LANE,PALO ALTO,28,Admin influenza virus vac,,28,13,73,LANE
RACHEL M. SEAMAN,MENLO PARK,10,Admin influenza virus vac,,52,13,73,SEAMAN
AMY BRENDEL,REDWOOD CITY,10,Admin influenza virus vac,,31,13,73,BRENDEL
DAPHNE MILLER,SAN FRANCISCO,21,Admin influenza virus vac,,11,13,73,MILLER
RICHARD E. BATTS,PINOLE,46,Admin influenza virus vac,,64,13,73,BATTS
HARVEY SACHS,SAN JOSE,47,Admin influenza virus vac,,21,13,73,SACHS
LISA HLADIK,BURLINGAME,5,Admin influenza virus vac,,25,13,73,HLADIK
JUSTIN R. GLODOWSKI,SANTA ROSA,,Admin influenza virus vac,,60,13,73,GLODOWSKI
KIMBERELY CARLSON,MOUNTAIN VIEW,14,Admin influenza virus vac,,25,13,73,CARLSON
JOHN C. GOOD,OAKLAND,44,Admin influenza virus vac,,140,13,73,GOOD
SYDNEY C. CHOSLOVSKY,SAN JOSE,45,Admin influenza virus vac,,67,14,81,CHOSLOVSKY
JORGE V. CONTRERAS,SAN JOSE,34,Admin influenza virus vac,,63,14,81,CONTRERAS
PHUONG D. DANG,OAKLAND,39,Admin influenza virus vac,,92,14,81,DANG
LEO SIFFLET,SAN JOSE,57,Admin influenza virus vac,,30,14,81,SIFFLET
TERESA CHENG,SUNNYVALE,15,Admin influenza virus vac,,33,14,81,CHENG
KENNETH B. MAYBURY,SAN FRANCISCO,22,Admin influenza virus vac,,59,14,81,MAYBURY
CHERYL GOLD,PALO ALTO,31,Admin influenza virus vac,,39,14,81,GOLD
SUE J. KNIGHT,SAN RAMON,31,Admin influenza virus vac,,95,14,81,KNIGHT
WILLIAM S. ANDERECK,SAN FRANCISCO,40,Admin influenza virus vac,,49,14,81,ANDERECK
TRACY A. THOMPSON,DUBLIN,32,Admin influenza virus vac,,57,15,86,THOMPSON
SCOTT MATTHEWS,PALO ALTO,16,Admin influenza virus vac,,47,15,86,MATTHEWS
BEATTY H. RAMSAY,SAN MATEO,36,Admin influenza virus vac,,77,15,86,RAMSAY
JAMES TAYLOR,SAN RAFAEL,28,Admin influenza virus vac,,117,15,86,TAYLOR
MARLON DECASTRO,SANTA ROSA,17,Admin influenza virus vac,,81,15,86,DECASTRO
PATTI YANKLOWITZ,PALO ALTO,29,Admin influenza virus vac,,60,15,86,YANKLOWITZ
"GARFIELD BEACH CVS, L.L.C.",SAN RAFAEL,,Admin influenza virus vac,,185,15,86,L.L.C.
ABRAHAM C. CABEBE,SAN JOSE,34,Admin influenza virus vac,,87,15,86,CABEBE
ERIC G. LIM,SAN FRANCISCO,21,Admin influenza virus vac,,328,15,86,LIM
MICHAEL D. BOYD,MARTINEZ,6,Admin influenza virus vac,,80,15,86,BOYD
BETSY STRONG,SUNNYVALE,32,Admin influenza virus vac,,52,15,86,STRONG
MEGAN L. ANCKER,FOSTER CITY,33,Admin influenza virus vac,,400,15,86,ANCKER
JAMES F. LEONI,PETALUMA,31,Admin influenza virus vac,,278,16,93,LEONI
ERNEST L. BONNER,ALAMEDA,39,Admin influenza virus vac,,72,16,93,BONNER
JONATHAN NORDLICHT,SAN FRANCISCO,39,Admin influenza virus vac,,32,16,93,NORDLICHT
MICHAEL D. DELANGE,HAYWARD,16,Admin influenza virus vac,,64,16,93,DELANGE
MILDRED M. KAWACHI,BERKELEY,40,Admin influenza virus vac,,57,16,93,KAWACHI
MICHAEL D. HOLMES,SEBASTOPOL,39,Admin influenza virus vac,,46,16,93,HOLMES
FAITH WELLS,LOS ALTOS,26,Admin influenza virus vac,,69,16,93,WELLS
JEFF TAO,SANTA CLARA,,Admin influenza virus vac,,74,16,93,TAO
RAJESH K. RANADIVE,PETALUMA,15,Admin influenza virus vac,,232,17,98,RANADIVE
LOUIS J. CUBBA,SAN FRANCISCO,18,Admin influenza virus vac,,57,18,99,CUBBA
STEPHEN M. KNOX,SAN FRANCISCO,29,Admin influenza virus vac,,45,19,99,KNOX
HARVEY C. EDELMAN,SAN FRANCISCO,58,Admin influenza virus vac,,49,21,100,EDELMAN
EUNICE S. LEE,SAN FRANCISCO,10,Anesth lens surgery,,15,-2,1,LEE
DENNIS LIU,SAN JOSE,35,Anesth lens surgery,2995,24,-1,1,LIU
MARC P. STEURER,SAN FRANCISCO,13,Anesth lens surgery,,14,2,2,STEURER
JENS W. KROMBACH,SAN FRANCISCO,20,Anesth lens surgery,,14,2,2,KROMBACH
ALI HABIBI,PALO ALTO,20,Anesth lens surgery,,11,3,4,HABIBI
CHARLES WANG,PALO ALTO,20,Anesth lens surgery,,12,3,4,WANG
AVIVA COHEN,REDWOOD CITY,42,Anesth lens surgery,,14,3,4,COHEN
HELEN EVANS,PALO ALTO,21,Anesth lens surgery,,11,3,4,EVANS
BRANDON T. GINIECZKI,SAN JOSE,16,Anesth lens surgery,,18,4,7,GINIECZKI
THOMAS GASTON,PALO ALTO,34,Anesth lens surgery,,17,4,7,GASTON
PAUL ECKINGER,PALO ALTO,,Anesth lens surgery,,16,4,7,ECKINGER
VICKI L. COE,WOODSIDE,,Anesth lens surgery,,15,4,7,COE
AHMED M. SHALABI,SAN FRANCISCO,13,Anesth lens surgery,,22,4,7,SHALABI
SCOTT ROBINSON,GREENBRAE,41,Anesth lens surgery,,12,4,7,ROBINSON
ANTHONY M. LIN,SAN JOSE,,Anesth lens surgery,,11,5,12,LIN
CHERYL R. CHEN,SAN JOSE,,Anesth lens surgery,,13,5,12,CHEN
MIN W. LEE,GILROY,44,Anesth lens surgery,,11,5,12,LEE
RICHARD B. LINIGER,PALO ALTO,11,Anesth lens surgery,,21,5,12,LINIGER
ARASH ZEIGHAMI,GILROY,10,Anesth lens surgery,,13,5,12,ZEIGHAMI
DANIEL A. ROWEN,BURLINGAME,,Anesth lens surgery,,17,5,12,ROWEN
PHILIPPA NEWFIELD,SAN FRANCISCO,41,Anesth lens surgery,,13,5,12,NEWFIELD
MARK E. KENTER,SAN JOSE,,Anesth lens surgery,,17,5,12,KENTER
MARK A. SINGLETON,SAN JOSE,,Anesth lens surgery,,12,5,12,SINGLETON
JAMES P. HOWELL,SAN JOSE,,Anesth lens surgery,,20,5,12,HOWELL
SUSAN R. MALONEY,SAN FRANCISCO,22,Anesth lens surgery,,13,5,12,MALONEY
ROBERT M. DONATIELLO,SAN RAMON,15,Anesth lens surgery,,11,5,12,DONATIELLO
NOAH E. GORDON,SAN FRANCISCO,11,Anesth lens surgery,,12,5,12,GORDON
DIANA REBMAN,GREENBRAE,31,Anesth lens surgery,,12,5,12,REBMAN
BRANDT A. FOREMAN,SAN JOSE,,Anesth lens surgery,,23,6,23,FOREMAN
ALEX L. GOODMAN,SAN FRANCISCO,24,Anesth lens surgery,,18,6,23,GOODMAN
JAMES J. DURRETT,SAN FRANCISCO,37,Anesth lens surgery,,16,6,23,DURRETT
SCOTT RUDY,PALO ALTO,12,Anesth lens surgery,,21,6,23,RUDY
SYDNEY I. THOMSON,SAN JOSE,,Anesth lens surgery,,18,6,23,THOMSON
MICHAEL D. MCGEHEE,SAN FRANCISCO,43,Anesth lens surgery,,15,6,23,MCGEHEE
FAIR H. WANG,CASTRO VALLEY,24,Anesth lens surgery,,13,6,23,WANG
KARL SORENSEN,MOUNTAIN VIEW,34,Anesth lens surgery,,28,6,23,SORENSEN
BLAKE A. VONDERHEIDE,WALNUT CREEK,,Anesth lens surgery,,13,6,23,VONDERHEIDE
ALLISON K. DUFFY,SAN RAMON,9,Anesth lens surgery,,11,6,23,DUFFY
ETHAN A. NICHOLLS,FREMONT,26,Anesth lens surgery,,32,7,31,NICHOLLS
YOLANDA Q. TAM,CASTRO VALLEY,11,Anesth lens surgery,,17,7,31,TAM
LEWIS S. MARGOLIS,REDWOOD CITY,41,Anesth lens surgery,,26,7,31,MARGOLIS
GEORGE H. LAMPE,SAN JOSE,,Anesth lens surgery,,20,7,31,LAMPE
TESSA B. COLLINS,OAKLAND,,Anesth lens surgery,,23,7,31,COLLINS
HENRY KAMALI,SAN JOSE,,Anesth lens surgery,,26,7,31,KAMALI
GREGORY KELLY,OAKLAND,,Anesth lens surgery,,32,7,31,KELLY
BENJAMIN HU,BURLINGAME,21,Anesth lens surgery,,19,7,31,HU
TIMUR J. KARACA,OAKLAND,12,Anesth lens surgery,,22,7,31,KARACA
BETTY LEE-HOANG,SAN FRANCISCO,16,Anesth lens surgery,,12,7,31,LEE-HOANG
CHUNG-IH JOHN CHOU,PALO ALTO,17,Anesth lens surgery,,33,7,31,CHOU
EDWIN HOM,SAN FRANCISCO,41,Anesth lens surgery,,15,7,31,HOM
RICHARD HUNTER,PALO ALTO,38,Anesth lens surgery,,37,7,31,HUNTER
HANH T. NGUYEN-CLARK,SAN JOSE,19,Anesth lens surgery,,17,7,31,NGUYEN-CLARK
CHRISTOPHER J. VASIL,SAN JOSE,,Anesth lens surgery,,12,7,31,VASIL
JOHN COOPER,PALO ALTO,31,Anesth lens surgery,,33,7,31,COOPER
ANDREW E. SOLOMON,GREENBRAE,23,Anesth lens surgery,,31,8,43,SOLOMON
JONATHAN PAK,SAN JOSE,14,Anesth lens surgery,,29,8,43,PAK
BRENT SOMMER,SAN FRANCISCO,34,Anesth lens surgery,,12,8,43,SOMMER
MING-JING WANG,SANTA CLARA,32,Anesth lens surgery,,24,8,43,WANG
CHRISTOPHER G. HATCH,GREENBRAE,17,Anesth lens surgery,,29,8,43,HATCH
JOHN W. BEARD,OAKLAND,,Anesth lens surgery,,20,8,43,BEARD
CALVIN CHANG,SAN FRANCISCO,48,Anesth lens surgery,,31,8,43,CHANG
TIFFANY TOWNSEND,BURLINGAME,14,Anesth lens surgery,,31,8,43,TOWNSEND
ANN M. MALLAT,SAN JOSE,,Anesth lens surgery,,25,8,43,MALLAT
TOM C. YU,OAKLAND,20,Anesth lens surgery,,29,9,51,YU
STEVEN D. GOLDFIEN,SAN FRANCISCO,36,Anesth lens surgery,,34,9,51,GOLDFIEN
ROBERT C. VANDERGRAAF,VALLEJO,31,Anesth lens surgery,,32,9,51,VANDERGRAAF
PATRICIA A. DAILEY,BURLINGAME,36,Anesth lens surgery,,34,9,51,DAILEY
THOMAS H. CROMWELL,SAN FRANCISCO,47,Anesth lens surgery,,32,9,51,CROMWELL
IK H. SUNG,PINOLE,11,Anesth lens surgery,,42,9,51,SUNG
KENJI BUTTERFIELD,SAN JOSE,9,Anesth lens surgery,,28,9,51,BUTTERFIELD
NALINI DESAI,GREENBRAE,27,Anesth lens surgery,,36,9,51,DESAI
KEVIN A. FUKUDA,BURLINGAME,21,Anesth lens surgery,,48,10,57,FUKUDA
VIVIAN T. KIM,DALY CITY,,Anesth lens surgery,,35,10,57,KIM
JOSEPH A. CALLAHAN,FREMONT,,Anesth lens surgery,,53,10,57,CALLAHAN
JULIA ANKUNDING,SAN FRANCISCO,,Anesth lens surgery,,31,10,57,ANKUNDING
ROBERT H. MEINTS,BURLINGAME,19,Anesth lens surgery,,60,10,57,MEINTS
PETER ALLEN,GREENBRAE,27,Anesth lens surgery,,46,10,57,ALLEN
PAZ Q. BILKEY,SAN JOSE,46,Anesth lens surgery,,40,10,57,BILKEY
BHANUMATHI GURUSWAMI,BURLINGAME,26,Anesth lens surgery,,51,10,57,GURUSWAMI
DAVID K. BLACK,CASTRO VALLEY,26,Anesth lens surgery,,12,10,57,BLACK
PETER T. SUN,SAN JOSE,42,Anesth lens surgery,,36,10,57,SUN
SUDHA R. SAWKAR,VALLEJO,42,Anesth lens surgery,,50,10,57,SAWKAR
MICHELLE B. TORRES,SAN RAMON,,Anesth lens surgery,,26,10,57,TORRES
ROBERT B. MORRIS,NAPA,39,Anesth lens surgery,,47,10,57,MORRIS
JOHN GAINEY,WALNUT CREEK,13,Anesth lens surgery,,49,10,57,GAINEY
RONALD T. STAFFORD,FAIRFIELD,45,Anesth lens surgery,,31,11,68,STAFFORD
ROSHEN MORENO,VALLEJO,26,Anesth lens surgery,,69,11,68,MORENO
SAMIR DZANKIC,WALNUT CREEK,18,Anesth lens surgery,,69,11,68,DZANKIC
JEFFREY S. STUART,FREMONT,,Anesth lens surgery,,146,11,68,STUART
PETER S. NOSE,SAN JOSE,26,Anesth lens surgery,,34,11,68,NOSE
KIRKMAN D. BECKWITH,WALNUT CREEK,27,Anesth lens surgery,,76,11,68,BECKWITH
TZUHAO WU,MOUNTAIN VIEW,12,Anesth lens surgery,,12,11,68,WU
ROBERT A. PIKE,WALNUT CREEK,37,Anesth lens surgery,,70,11,68,PIKE
PATRICIA DECKER,NAPA,22,Anesth lens surgery,,52,11,68,DECKER
ROBERT C. SINGLER,NAPA,38,Anesth lens surgery,,68,11,68,SINGLER
CELIA L. CARPENTER,BURLINGAME,23,Anesth lens surgery,,50,11,68,CARPENTER
MICHAEL R. HULTON,SAN FRANCISCO,44,Anesth lens surgery,,46,11,68,HULTON
DANIEL Y. MOCHIZUKI,MOUNTAIN VIEW,,Anesth lens surgery,,13,11,68,MOCHIZUKI
SIEW YEAN LAU,MOUNTAIN VIEW,,Anesth lens surgery,,15,12,78,LAU
DONALD J. LOARIE,SANTA ROSA,40,Anesth lens surgery,,61,12,78,LOARIE
EFREN P. BARIA,SAN FRANCISCO,13,Anesth lens surgery,,25,12,78,BARIA
PHILIP C. STILLMAN,MOUNTAIN VIEW,,Anesth lens surgery,,17,12,78,STILLMAN
ERICA M. ROSEN,MOUNTAIN VIEW,,Anesth lens surgery,,15,12,78,ROSEN
JOSEPH W. LEE,DALY CITY,28,Anesth lens surgery,,95,12,78,LEE
BRIAN D. HERSHEY,WALNUT CREEK,,Anesth lens surgery,,185,13,83,HERSHEY
SIOBHAN HARRINGTON,MOUNTAIN VIEW,,Anesth lens surgery,,20,13,83,HARRINGTON
MAGDALENA M. MINDEA,DALY CITY,,Anesth lens surgery,,164,13,83,MINDEA
DANIEL WONG,MOUNTAIN VIEW,11,Anesth lens surgery,,21,13,83,WONG
CHIA-BING CHANG,SAN JOSE,,Anesth lens surgery,,137,13,83,CHANG
THOMAS GAFFEY,SAN RAFAEL,12,Anesth lens surgery,,235,14,87,GAFFEY
MEI-VEN C. LO,SAN JOSE,26,Anesth lens surgery,,102,14,87,LO
STEVEN M. JOHNSON,SAN JOSE,28,Anesth lens surgery,,103,14,87,JOHNSON
CYNTHIA WELLER,REDWOOD CITY,11,Anesth lens surgery,,125,14,87,WELLER
SHIRLEY LIU,REDWOOD CITY,14,Anesth lens surgery,,217,15,90,LIU
MARGARET HARRINGTON,SAN RAFAEL,,Anesth lens surgery,,95,15,90,HARRINGTON
LISA M. COLLINS,SAN PABLO,17,Anesth lens surgery,,261,15,90,COLLINS
JENNIFER L. MUELLER,SAN FRANCISCO,,Anesth lens surgery,,59,15,90,MUELLER
MARK COPE,SANTA CLARA,8,Anesth lens surgery,,111,15,90,COPE
JEFFREY P. KUHN,SANTA ROSA,29,Anesth lens surgery,,302,15,90,KUHN
PAUL GILLBANKS,SAN LEANDRO,,Anesth lens surgery,,453,16,95,GILLBANKS
ANNIE Y. LAU,FAIRFIELD,36,Anesth lens surgery,,54,16,95,LAU
WILLIAM R. ROALFE,OAKLAND,,Anesth lens surgery,,514,17,97,ROALFE
LUCAS G. TAN,SAN JOSE,,Anesth lens surgery,,241,17,97,TAN
VINCENT R. SANSONE,SONOMA,40,Anesth lens surgery,,226,18,98,SANSONE
KAY M. ASTROTH,SAN RAFAEL,,Anesth lens surgery,,468,19,99,ASTROTH
CORAZON DEGUZMAN,FREMONT,58,Anesth lens surgery,,206,19,99,DEGUZMAN
DAN-ANH T. NGUYEN,SAN JOSE,28,Cancer screen w pelvic of breast exam,,172,0,1,NGUYEN
MARION R. KRAMER,HAYWARD,,Cancer screen w pelvic of breast exam,,24,2,2,KRAMER
SARI J. KASPER,WALNUT CREEK,12,Cancer screen w pelvic of breast exam,,13,3,4,KASPER
JANETTE G. WALKER,WALNUT CREEK,21,Cancer screen w pelvic of breast exam,,13,3,4,WALKER
NICOLE WILCOX,MOUNTAIN VIEW,9,Cancer screen w pelvic of breast exam,,11,3,4,WILCOX
GARY A. MATSUMURA,VACAVILLE,36,Cancer screen w pelvic of breast exam,,14,3,4,MATSUMURA
MELANIE F. STONE,WALNUT CREEK,,Cancer screen w pelvic of breast exam,,11,3,4,STONE
